"","Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
"1",1,1,4,3.01,5630.25210232585,8,20,47.4378186528763,43.1035134143897,5000,-15,30.56,200
"2",1,2,5,3.2,5660,6,52.7997387729477,38,48.2716000375444,2298.70722230836,-14,52.818254126507,122.68074511909
"3",1,3,6,2.7,5710,4,28,40,50.650324122674,2693,-25,47.66,250
"4",1,4,7,5.18,5700,3,37,45,48.9408374482529,590,-24,55.04,100
"5",1,5,1,5.34,5760,3,51,54,45.32,1450,25,57.02,60
"6",1,6,2,5.77,5720,4,69,35,49.64,1568,15,53.78,60
"7",1,7,3,3.69,5790,6,19,45,46.4,2631,-33,54.14,100
"8",1,8,4,3.89,5790,3,25,55,52.7,554,-28,64.76,250
"9",1,9,5,5.76,5700,3,73,41,48.02,2083,23,52.52,120
"10",1,10,6,6.94,5700,3,59,44,47.5826394648541,2654,-2,48.38,120
"11",1,11,7,3.75,5770,8,27,54,51.6511642199698,5000,-19,48.56,120
"12",1,12,1,6.39,5720,3,44,51,54.32,111,9,63.14,150
"13",1,13,2,4.73,5760,6,33,51,57.56,492,-44,64.58,40
"14",1,14,3,4.35,5780,6,19,54,56.12,5000,-44,56.3,200
"15",1,15,4,3.94,5830,3,19,58,62.24,1249,-53,75.74,250
"16",1,16,5,7,5870,2,19,61,64.94,5000,-67,65.48,200
"17",1,17,6,4.94,5840,5,19,64,56.8224840564436,5000,-40,63.32,200
"18",1,18,7,9.18,5780,4,59,67,55.1151449742444,639,1,66.02,150
"19",1,19,1,4.07,5680,5,73,52,56.48,393,-68,69.8,10
"20",1,20,2,3.06,5720,4,19,54,54.4067549208261,5000,-66,54.68,140
"21",1,21,3,4.39,5760,3,19,54,53.6,5000,-58,51.98,250
"22",1,22,4,3.69,5730,4,26,58,52.7,5000,-26,51.98,200
"23",1,23,5,4.9,5700,5,59,69,51.08,3044,18,52.88,150
"24",1,24,6,6.4,5650,5,70,51,48.7544338482712,3641,23,47.66,140
"25",1,25,7,9.31,5680,3,64,53,51.8422467166944,111,-10,59.54,50
"26",1,26,1,4.84,5780,3,47.7716251905381,56,53.6,692,-25,67.1,0
"27",1,27,2,6.15,5820,5,19,59,59.36,597,-52,70.52,70
"28",1,28,3,5.74,5830,4,26.0385386197779,59,60.08,2616.09023156943,-44,62.7788118590074,150
"29",1,29,4,5.68,5810,5,19,64,56.66,1791,-15,64.76,150
"30",1,30,5,11.06,5790,3,28,63,57.38,793,-15,65.84,120
"31",1,31,6,9.93,5800,2,32,63,59.4555767316371,531,-38,75.92,40
"32",2,1,7,6.98,5820,5,19,62,56.3744665530038,419,-29,75.74,120
"33",2,2,1,12.28,5770,8,76,63,57.2,816,-7,66.2,6
"34",2,3,2,9.29,5670,3,69,54,45.5,3651,62,49.1,30
"35",2,4,3,2.18,5590,3,76,36,37.4,5000,70,37.94,100
"36",2,5,4,2.94,5558.08164694407,6,64,31,32.18,5000,28,32.36,200
"37",2,6,5,2.74,5676.29056940225,7,62,30,32.54,1341,18,45.86,60
"38",2,7,6,2.21,5585.87507567331,9,72,36,40.2201641899968,5000,0,38.66,151.844803378106
"39",2,8,7,2.83,5600,7,76,42,44.286968883408,3799,-18,45.86,250
"40",2,9,1,2.92,5562.61782598205,5.71326787974595,72,37,38.48,5000,32,38.12,145.324062178205
"41",2,10,2,4.08,5560,10,72,41,40.46,5000,-1,37.58,145.752803493883
"42",2,11,3,6.04,5700,3,32,46,50.9430146018942,5000,-30,45.86,170.606518768593
"43",2,12,4,8.32,5680,5,50,51,47.12,5000,-8,45.5,143.920708131146
"44",2,13,5,5.8,5700,4,86,55,49.28,2398,21,53.78,200
